week_key,high_day,high_dow,high_day_name,low_day,low_dow,low_day_name,weekly_range_pips,high_first,low_first,same_day,year,weekly_return,bullish
2004-W21,2004-05-20,3,Thursday,2004-05-19,2,Wednesday,176.0000000000006,False,True,False,2004,-17.999999999998018,False
2004-W22,2004-05-27,3,Thursday,2004-05-24,0,Monday,309.99999999999915,False,True,False,2004,181.00000000000006,True
2004-W23,2004-06-06,6,Sunday,2004-06-03,3,Thursday,198.0000000000004,False,True,False,2004,122.99999999999977,True
2004-W24,2004-06-07,0,Monday,2004-06-13,6,Sunday,398.00000000000057,True,False,False,2004,-262.9999999999999,False
2004-W25,2004-06-14,0,Monday,2004-06-17,3,Thursday,194.00000000000085,True,False,False,2004,59.00000000000016,True
2004-W26,2004-06-27,6,Sunday,2004-06-23,2,Wednesday,187.00000000000162,False,True,False,2004,69.99999999999895,True
2004-W27,2004-07-04,6,Sunday,2004-06-29,1,Tuesday,262.9999999999999,False,True,False,2004,100.00000000000009,True
2004-W28,2004-07-11,6,Sunday,2004-07-05,0,Monday,173.00000000000094,False,True,False,2004,117.99999999999811,True
2004-W29,2004-07-18,6,Sunday,2004-07-12,0,Monday,161.99999999999991,False,True,False,2004,27.999999999999137,True
2004-W30,2004-07-19,0,Monday,2004-07-25,6,Sunday,365.99999999999966,True,False,False,2004,-294.9999999999986,False
2004-W31,2004-07-26,0,Monday,2004-07-28,2,Wednesday,197.0000000000005,True,False,False,2004,-121.0,False
2004-W32,2004-08-05,3,Thursday,2004-08-03,1,Tuesday,322.00000000000006,False,True,False,2004,248.00000000000156,True
2004-W33,2004-08-15,6,Sunday,2004-08-12,3,Thursday,202.99999999999986,False,True,False,2004,89.99999999999898,True
2004-W34,2004-08-16,0,Monday,2004-08-22,6,Sunday,258.00000000000045,True,False,False,2004,-215.00000000000074,False
2004-W35,2004-08-23,0,Monday,2004-08-29,6,Sunday,160.00000000000014,True,False,False,2004,-77.0000000000004,False
2004-W36,2004-08-31,1,Tuesday,2004-09-02,3,Thursday,178.00000000000037,True,False,False,2004,19.000000000000128,True
